Time,st
1474741382108,9735
1474741382926,9735
1474741383730,9735
1474741384518,9735
1474741385963,9735
1474741386690,9735
1474741387462,9735
1474741389061,9735
1474741389872,9735
1474741390659,9735
1474741392155,9735
1474741392951,9735
1474741393770,9735
1474741394622,9735
1474741396320,9735
1474741397178,9735
1474741398022,9735
1474741398841,9735
1474741399651,9735
1474741401241,9735
1474741401982,9735
1474741402683,9735
1474741404050,9735
1474741404801,9735
1474741405627,9735
1474741407227,9735
1474741408014,9735
1474741408777,9735
1474741410273,9735
1474741411061,9735
1474741411825,9735
1474741413312,9735
1474741414029,9735
1474741414761,9735
1474741416211,9735
1474741416912,9735
1474741418415,9735
1474741419186,9735
1474741419943,9735
1474741420778,9735
1474741422454,9735
1474741423312,9735
1474741424139,9735
1474741424919,9735
1474741426462,9735
1474741427249,9735
1474741428068,9735
1474741428872,9735
1474741430534,9735
1474741431336,9735
1474741432092,9735
1474741432871,9735
1474741434526,9735
1474741435352,9735
1474741436194,9735
1474741437029,9735
1474741438691,9735
1474741439503,9735
1474741440250,9735
1474741440966,9735
1474741442446,9735
1474741443195,9735
1474741443967,9735
1474741445612,9735
1474741446438,9735
1474741447265,9735
1474741448085,9735
1474741449714,9735
1474741450517,9735
1474741451328,9735
1474741452132,9735
1474741453690,9735
1474741454479,9735
1474741455256,9735
1474741456691,9735
1474741457416,9735
1474741458140,9735
1474741459604,9735
1474741460288,9735
1474741461684,9735
1474741462415,9735
1474741463187,9735
1474741464840,9735
1474741465612,9735
1474741466369,9735
1474741467155,9735
1474741468777,9735
1474741469606,9735
1474741470424,9735
1474741471226,9735
1474741472808,9735
1474741473541,9735
1474741474265,9735
1474741475778,9735
1474741476596,9735
1474741477455,9735
1474741478328,9735
1474741480061,9735
1474741480888,9735
1474741481722,9735
1474741482540,9735
1474741483320,9735
1474741484797,9735
1474741485549,9735
1474741486344,9735
1474741488076,9735
1474741488951,9735
1474741489809,9735
1474741490667,9735
1474741491510,9735
1474741493052,9735
1474741493761,9735
1474741494479,9735
1474741495974,9735
1474741496733,9735
1474741497533,9735
1474741499203,9735
1474741500014,9735
1474741500808,9735
1474741501611,9735
1474741503266,9735
1474741504085,9735
1474741504872,9735
1474741505643,9735
1474741507178,9735
1474741507896,9735
1474741508613,9735
1474741510209,9735
1474741511013,9735
1474741511816,9735
1474741512635,9735
1474741514336,9735
1474741515145,9735
1474741515903,9735
1474741516651,9735
1474741518179,9735
1474741518959,9735
1474741519685,9735
1474741521226,9735
1474741522021,9735
1474741522817,9735
1474741524478,9735
1474741525312,9735
1474741526093,9735
1474741526869,9735
1474741528494,9735
1474741529320,9735
1474741530147,9735
1474741530975,9735
1474741531778,9735
1474741533376,9735
1474741534131,9735
1474741534911,9735
1474741536503,9735
1474741537297,9735
1474741538084,9735
1474741538895,9735
1474741540486,9735
1474741541251,9735
1474741542014,9735
1474741543549,9735
1474741544296,9735
1474741545046,9735
1474741546590,9735
1474741547344,9735
1474741548100,9735
1474741549588,9735
1474741550290,9735
1474741550998,9735
1474741552471,9735
1474741553201,9735
1474741554596,9735
